|0
1868|"
nobody seems to have noticed that the clipper chip *must* have been
under development for considerably longer than the 3 months that
clinton has been president.  this is not something that choosing
choosing bush over clinton would have changed in the slightest; it has
been in the works for some time.

"
1869|"
I've seen them in surplus stores.  All they are are fluorescent bulbs 
without the phosphor, and a UV transparent bulb (special glass).  I've
also seen incandescent versions that you screw into an ordinary 120VAC
socket, probably not what you want.


As far as I know, near UV (as opposed to far-UV) is longwave UV (near
the visible spectrum).  Longwave UV is safer as far as accidental (I hope)
exposure to the eyes.  As far as fluorescent minerals go (the reason a
friend has a UV lamp), some only respond to only one of short or long UV.

Hope this helps.

Dave.



 ---------------------------------------------------------------------- "
1870|"Could someone direct me to information on SCSI performance for each Mac?
(Max throughput, etc.)


Kurt Tiedtke
ktiedtke@jarthur.claremont.edu"
1871|"

What about U. Johnny Hodapp, the greatest 2nd baseman in Cleveland Indians
history?  225 hits in 1930, consistantly over .300.  A great, great second baseman.
"
1872|"Thanks to everyone who responded to my Honda Accord break question.
It does seem that the master cylinder is bad. I will have my
mechanic double check and be sure it isn't something simpler
and cheaper first, but from your responses it sounds like it
is very likely to be the master cylinder.

Thanks everyone!!"
1873|"From: Gene Wright <gene@theporch.raider.net>



I'll say!  Imagine that there were a couple groups up there, maybe landing
a few weeks apart.  The year-mark starts coming on for the first group.
Isn't a billion pretty good incentive to take a shot at a potential
winner?  ""Yeah, that's a shame that Team A's life support gave out
so close to the deadline.  Thanks for the billion.""

On the other hand, if Apollo cost ~25billion, for a few days or weeks
in space, in 1970 dollars, then won't the reward have to be a lot more
than only 1 billion to get any takers?

-Tommy Mac
-------------------------------------------------------------------------
Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases,
18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows."
1874|"




Hey, sounds great. Does that mean that W4WG works with ODI? I thought it   
uses NDIS.                                                                 
                                                                           
My problem is that Lan Workplace with all its drivers uses up most of my   
UMBs, so I'd hate to have to load many more drivers to make W4WG work      
along.                                                                      
                                                                            
I read in a German computer magazine that TCP/IP support for W4WG is just   
around the corner. Anybody have any news about this?                        
                                                                            
Regards, Richard                                                            
"
1875|"
Wrong on both accounts.


No one is a ""rioter"" until they participate in a ""riot"", which is 
unlikely to happen, now.

Most of the *people* in L.A. are likely to have gotten up early to 
listen to the court announcement.


Sorry to disappoint you, but this seems unlikely.


I don't think he was told.
However, his statement was still appropriate.


Jury duty is a solemn duty to be taken seriously.  It is not meant 
to be a source of pride or instant fame.


Well, the many *people* who got up early to go to the court to hear 
the verdict found that justice was served.  Given your dire and 
cynical predictions, I imagine that it is you who will be surprised.  :-)


"
1876|"

It has actually come up (or it will in a week or two) in NZ.  I'll post the
outcome when the trial finishes (which could take months BTW).  Overall it
looks like you can't be forced to reveal a password, if anyone can provide
a convincing legal argument to the contrary (ie an actual court case) I'd
be most interested...

Peter."
1877|"JL-NS>Subject: Re: Motorcycle Courier (Summer Job)

I'd like to thank everyone who replied. I will probably start looking in
earnest after May, when I return from my trip down the Pacific Coast
(the geographical feature, not the bike).

Ryan Cousinetc.|1982 Yamaha Vision XZ550 -Black Pig of Inverness|Live to Ride
KotRB          |1958 AJS 500 C/S -King Rat                      |to Work to
DoD# 0863      |I'd be a squid if I could afford the bike...    |Flame to
ryan.cousineau@compdyn.questor.org  |   Vancouver, BC, Canada   |Live . . .


 * SLMR 2.1a * Have bike, will travel. Quickly. Very quickly.
                                   "
1878|"
I feel like Winston Churchill in 1941 :( ...... but,
the privacy Clipper will, TO THE EXTENT KEY ESCROW IS LEGITIMATE, stop
most of the abuse of wiretaps by local cops, company cops, angry husbands/
wives, etc...  It is going to be hard for the keystone cops, the
Proctor&Gamble cops, etc. to bypass even a product as flawed as the ClipJob.

Now I admit, I am hard pressed to find anything else good to say about it
except that, if it actually takes off, someone will certainly come up with
a REAL crypto chip (pin compatable!) that we can buy... Unless, of course,
Big Brother makes it illegal to have real crypto 'cause good honest law
abiding citizens will be HAPPY to let the government listen to their
every word.... ""Me? Did I say THAT?""

        ""I am not a crook."" - President Richard M. Nixon
                              ^^^^^^^^^
"
1879|"
Based on my experience with a '79 FJ40 ( the hard-top jeep-style model ) I 
would definitely give a new model consideration if I were in the market. The
older models are VERY well built. Unless Toyota lost its mind, I would
assume, until  proven otherwise, that the newer models have inherited some
if not all of the qualities of their ancestors.

Two major differences in the running gear (that I'm aware of) need study.
My '79 has a solid front axle housing whereas the newer models have
independant front suspension. The solid axle is theoretically stronger and
more reliable than the newer model, but only experience will tell. The
independant front suspension is, no doubt, a compromise made to satisfy
the typical user, who will never need a real utility vehicle. The second
difference is the type of transfer case used on the newer models. I'm
not sure, but I think Tioyota went to a full-time 4WD or all-wheel drive
system. The older Landcruisers have a ""lock-up"" type. Both have their
advantages and disadvantages."
1880|"

You apparently think you are some sort of one-man judge and jury who
can declare ""total"" victory and then sit back and enjoy the
applause.  But you've picked the wrong topic if you think a few
rigged ""quotations"" can sustain the legend and lie of the Deir
Yassin ""massacre.""

You have a lot to learn when it comes to historical methodology.
At the most basic level, you should know that there is a big
difference between weighing evidence fairly and merely finding
""quotations"" that support your preset opinions.

If you have studied the history of Israel at all you must know that
many of the sources of your ""quotations"" have an axe to grind, and
therefore you must be very careful about whom you ""quote.""  For
example, Meir Pa'il, whom you cite, was indeed a general, a scholar,
and a war hero.  But that doesn't mean everything that comes out of
his mouth is gold.  In fact (and here your lack of experience
shows), Pa'il is such a fanatic, embittered leftist that much of his
anti-Israel blathering (forget about anti-Irgun blathering) would be
considered something like treason in non-Israel contexts.  But of
course you don't consider this AT ALL when you find a juicy
""quotation"" that you can use to attack Israel.

Benny Morris (of Hashomer Hatzair) represents himself as a ""scholar""
when he rehashes the old attacks on the Irgun.  Don't be fooled.
It's just the old Zionist ideological catfight, surfacing as an
attack on the (then-) Likud government.  If you will look closely at
the section on Deir Yassin in his book on the War of Independence,
you will see his ""indictment"" to be pure hot air.  And this is the
BEST HE CAN DO after decades of digging for any sort of damning
evidence.  Unfortunately for him, because his book parades itself as
""scholarly,"" he is forced to put footnotes.  So you can clearly see
that his Deir Yassin account is based on nothing.

The Deir Yassin ""massacre"" never took place as the propagandists
tell it, any more than the Sabra and Shatila ""massacres."" Do you get
the feeling people like to blame the Jews for ""massacres,"" even if
they have to make them up?  It must sound spicy.  Even some Jews
like to do it, for reasons of their own.

Please, don't confuse any of you Deir Yassin ""massacre"" stuff
with facts or scholarship.  You should stick to Begin's version
unless you find something serious to contradict it."
1881|"Has anybody out there used/tested these new Fluke Scopemeters?
How do they compare to a low-end Tectronix oscilloscope? Are
there any big drawbacks about these handheld scopes when
compared to the benchtop scopes of the same price range
($1000-$2000)?

Any info on the Fluke Scopemeters would be greatly appreciated.

Thanks,"
1882|"
Nathan,
  Win31 has a fixed limit of 64K GDI memory, regardless of physical RAM
installed, this is twice that of Win30, but not nearly robust enough for
many developers and power users.
 
Using Amish Launch as your shell, you can reduce GDI memory usage by as
much as 15% over Progman, NDW 2, DAshboard, and other graphical type icon
based and other shells.  Also, nesting, and full hot-key global support
is offered, something no other shells have at this time.
 
Ted Matsumura, President
Amish Software, Inc."
1883|"For the second straight game, California scored a ton of late runs to crush
the Brewhas. It was six runs in the 8th for a 12-5 win Monday and five in
the 8th and six in the 9th for a 12-2 win yesterday. Jamie Navarro pitched
seven strong innings, but Orosco, Austin, Manzanillo and Lloyd all took part
in the mockery of a bullpen yesterday. How's this for numbers? Maldanado has
pitched three scoreless innings and Navarro's ERA is 0.75. The next lowest
on the staff is Wegman at 5.14. Ouch!

It doesn't look much better for the hitters. Hamilton is batting .481, while
Thon is hitting .458 and has seven RBI. The next highest is three. The next
best hitter is Jaha at .267 and then Vaughn, who has the team's only HR, at
.238. Another ouch. Looking at the stats, it's not hard to see why the team
is 2-5. In fact, 2-5 doesn't sound bad when you're averaging three runs/game
and giving up 6.6/game. 

Still, it's early and things will undoubtedly get better. The offense should
come around, but the bullpen is a major worry. Fetters, Plesac and Austin gave
the Brewers great middle relief last year. Lloyd, Maldanado, Manzanillo, 
Fetters, Austin and Orosco will have to pick up the pace for the team to be
successful. Milwaukee won a number of games last year when middle relief either
held small leads or kept small deficits in place. The starters will be okay,
the defense will be alright and the hitting will come around, but the bullpen
is a big question mark.

In other news, Nilsson and Doran were reactivated yesterday, while William
Suero was sent down and Tim McIntosh was picked up by Montreal. Today's game
with California was cancelled."
1884|"PC Mag only got around 9-10 Winmarks when they tested the Steal 24.  It sounds
like you are ok.
jamesc

"
1885|"I have  a strange piece of equipment to unload. It is a Ether+ SCSI interface.
Apparently, it can be plugged into a SCSI port and from there to an ethernet.
That way you save a slot. Nifty. Well, I assume you people know more about it,
so, judging by the $350 price tag new, I'll ask, say, $75? Anybody interested?


"
1886|"Just my luck.  I did however call my local Apple dealer and he said that
the he thinks the serial numbers of the machines that are covered begin
with either 70 or 53-56, and maybe one other.  He also told me that Apple
had extended the service on these serial numbers for another year!!!  

So there is still hope - Get those monitor in!!


"
1887|"Has anyone tried connecting an Apple Laserwriter II to a PC?
Do I need any special controller card or software to do that?

Thanks for any comments.
"
1888|"
Armenia is involved in fighting with Azarbaijan.  It is Armenian
soldiers from mainland Armenia that are shelling towns in Azarbaijan.
You might wish to read more about whether or not it is Azeri aggression
only in that region.  It seems to me that the Armenians are better
organized, have more success militarily and shell Azeri towns
repeatedly.  

I don't wish to get into the Cyprus discussion.  Turkey had the right to
intervene, and it did.  Perhaps the intervention was not supposed to
last for so long, but the constant refusal of the Greek governments both
on the island and in Greece to deal with reality is also to be blamed
for the ongoing standoff in the region.  

Lastly, why is there not a soc.culture.armenia?  I vote yes for it.
After all, it is now free.  "
1889|"{Sorry, Harel et al, but our doctors and most hospitals are still
private in Canada as well as in much of Western Europe.}


Wrong.  In better EC countries that use pure (but public) health
insurance (like we use in Canada) rather than self-enclosed HMO-like
socialized medicine, 30% of our costs comes from private supplementary
insurance and/or copayments.  France Magazine's Summer 1992 edition
has a fantastic presentation of their basic insurance coverage,
including a sample chart of copayment percentages.  For 1-30 days,
you're covered for 80% of the public hospital rate, 100% afterward.
With extra private insurance, you can get into a private hospital and
be covered for any differences beyond the public hospital rate.  The
public insurance covers 100% beyond 30 days, or the same cash amount
for a private hospital and the difference is paid out-of-pocket or
according to your supplementary private insurance.  Over 2/3rds of
French have some form of extra private insurance.  So, 30% of health
costs in Europe are out of private funds and not gleaned from other
taxes.  The GDP figures are combined public and private expenditures
for total outlay using the same methods that yield the 13-14% figure
for the U.S.

That the French had deductibles and copayments in their insurance fund
is to their credit ... I am in the minority for advocating such back
in Canada (to make the Canadian insurance look more like real health
insurance -- which actually it is).  The new Reform Party, a breakoff
of traditionalists from the Conservatives with a mildly ""libertarian""
faction, hold our public health insurance as an untouchable but that
just a few people have to be reminded that it's not free (the average
Canadian/European is more fiscally naive than their American
counterparts on issues like these).

I'm one of the few people who favour copayments (forget about
leftists, even our conservatives attack me for it on the Canadian
newsgroups) to make it look more like real insurance, 'cos the 100%
insurance payment is hidden (unlike in France) and if you didn't know
it, you'd believe it actually is socialized medicine (American
conservatives/libertarians and Canadian leftists are the only ones who
seriously call it that).  Canadians aren't worried about the
Americans, who spend 14%; we're worried about the French and Germans
who spend 7% to our 9% ... so the insurance is looking at things that
shouldn't be paid for out of general funds like physicals for
insurance policies, sick notes, electrolysis, etc.  The reason that
the Canadian health insurance hasn't spiralled out of control despite
being open and universal is that unlike Americans, there is no urge to
spend all of your benefits' worth, and more if you can ... we're a
different culture.


""Managed Care"" relies on HMO's, which are unknown in most western
nations that use only public health insurance like Canada, France
and Germany (I'm Canadian, and my German father-in-law-to-be says
of HMO/NHS approaches, ""We left that behind with East Germany!"").
Sure, HMO/NHS controls costs because you have managers strangling
doctors with budget strings.

In Canada, we use the public health insurance approach as in France
and Germany, with all private doctors and both private and public
hospitals.  It is all pure insurance without HMO's.  The divisions
are different, with the Germans using a couple hundred interlinked
""sickness funds"" over a century old while Canada divides by their
provinces (who run the insurance fund and set local fees with the
doctors monopoly; federal funds cover the fees disbursed.)

With such an open-ended system, it's no surprise that Canada is #2 to
the U.S. in costs; all-insurance is the most expensive way to go. The
French and Germans use the same approach but have larger populations
in more compact geography to improve scales of economy.

gld"
1890|"Government-Mandated Energy Conservation is Unnecessary and Wastful, Study Finds

  Washington, DC -- The energy tax and subsidized energy-efficiency
  measures supported by President Clinton and Energy Secretary Hazel
  O'Leary are based on faulty assumptions, a new study from the Cato
  Institute points out.

    According to Jerry Taylor, Cato's director of natural resource studies,
  we are not running out of sources of energy. The world now has almost 10
  times the proven oil reserves it had in 1950 and twice the reserves of
  1970. Proven reserves of coal and natural gas have increased just as
  dramatically.

    When standards of living, population densities, and industrial
  structures are controlled for, the United States is no less energy
  efficient than Japan and more energy efficient than many of the Group
  of Seven nations.

    Energy independence provides little protection against domestic oil
  price shocks because the energy economy is global. Moreover, since the
  cost of oil represents only about 2 percent of gross national product,
  even large increases in the price of oil would have little impact on the
  overall U.S. economy.

    Market economies are, on average, 2.75 times more energy efficient per
  $1,000 of GNP than are centrally planned economies.

    Utilities' subsidized energy-efficiency measurs, known as demand-side
  management programs, encourage free riders, overuse of competing resource
  inputs, an competitive inequities. Furthermore, DSM programs do not
  reduce demand.

    Taylor concludes that government-mandated energy conservation imposes
  unnecessary costs on consumers and wastes, not conserves, energy; that
  subsidizing energy-conservation technologies will stymie, not advance,
  gains in energy conservation; and that central control over the lifeblood
  of modern society--energy--would transfer tremendous power to the state
  at the expense of the individual.

    ""Energy Conservation and Efficiency: The Case Against Coercion"" is no.
  189 in the Policy Analysis series published by the Cato Institute, an
  independent public policy research organization in Washington, DC.



Available from:
  Cato Institute
  224 Second Street SE
  Washington, DC  20003



---------------------------------------------------------------------------




                        The Cato Institute

    Founded in 1977, the Cato Institute is a public policy research
  foundation dedicated to broadening the parameters of policy debate
  to allow consideration of more options that are consistent with the
  traditional American principles of limited government, individual
  liberty, and peace.  To that end, the Institute strives to achieve
  greater involvement of the intelligent, concerned lay public in 
  questions of policy and the proper role of government.
    The Institute is named for Cato's Letters, libertarian pamphlets
  that were widely read in the American Colonies in the early 18th
  century and played a major role in laying the philosophical foundation
  of the American Revolution.
    Despite the achievement of the nation's Founders, today virtually
  no aspect of life is free from government encroachment.  A pervasive
  intolerance for individual rights is shown by government's arbitrary
  intrusions into private economic transactions and its disregard for
  civil liberties.
    To counter that trend the Cato Institute undertakes an extensive
  publications program that addresses the complete spectrum of policy
  issues.  Books, monographs, and shorter studies are commissioned
  to examine the federal budget, Social Security, regulation, military
  spending, international trade, and myriad other issues.  Major policy
  conferences are held throughout the year, from which papers are
  published thrice yearly in the Cato Journal.
    In order to maintain its independence, the Cato Institute accepts
  no government funding.  Contributions are received from foundations,
  corporations, and individuals, and other revenue is generated from
  the sale of publications.  The Institute is a nonprofit, tax-exempt,
  educational foundation under Section 501(c)3 of the Internal Revenue
  Code."
1891|"the 

Not Quite the point to be considdered here!
Fact: If/When Apple release system 7 (or what ever is current at the time 
of release) then you will see shortly afterwards Apple no longer producing 
Hardware...Look at Next with their NextStep486 to see what happens.
Who is going to pay Apples Prices when they can get the same thing cheaper 
else where! (Heck we can get a Sun Workstation cheaper than a Quadra, and 
infact we have a number of times!!!, it ALL comes down to $$$$)

them,
It


No the continued develeopment is because there is becomming less and less 
profit in Hardware, So the Next Step (no pun intended...well sort of), is 
to make the money in software (look at Microsoft if you think it can't 
happen!), after all you can sell multiple pieces of software to ONE 
hardware platform.

As you also said Windows is a nightmare for programmers, so will the 
temptation to sell system 7 to a couple of MILLION dos users be too much 
for Apple! (50 million copies @ $100 is SERIOUS money!).

--
"
1892|"I once read an article on  Computer technology  which stated that 
every new computer technology was actually lower and slower then what it
replaced.  Silicon was less  effective then the germanium  products
then available.   GaAs  was less capable then Silicon.  Multi-processors
were slower then  existent single processors.

What the argument was, though was that these new technologies promised either
theoretically future higher performance  or lower cost or higher densities.

I think that the DC-1  may g=fit into this same model.

ELV's can certainly launch more weight  then  a SSRT,  but 
an SSRT offers the prospect of  greater cycle times and  lower costs.

This is kind of a speculative posting,  but I thought i'd throw it out as
a hjistorical framework  for those interested in the project."
1893|"
	Serum, actually, but plasma numbers are the same.  Whole blood
	numbers for humans tend to be somewhat lower (roughly 5 to 10 
	percent lower).  I find the following range for whole blood in
	FUNDAMENTALS OF CLINICAL CHEMISTRY: N. W. Teitz, editor; W. B.
	Saunders, 1987:

	Human glucose (whole blood, fasting levels) --> 60 - 95 mg./dL.


	Indeed, they do measure whole blood levels, although they are not
	as accurate as a serum test done in a laboratory.  One problem is
	that cells in the sample continue to metabolize glucose after the
	sample is drawn, reducing the apparent level.  According to Teitz,
	however, results compare ""reasonably well"" with laboratory results,
	although ""values below 80 mg./dL. tend to be lower with strip tests,
	whereas values above 240 mg./dL. can be very erratic.""


	As stated above, whole blood levels tend to be roughly 5 to 10 
	percent lower than serum levels.  Sample freshness will affect
	whole blood levels, however.  I don't believe there is a well-
	defined ""conversion factor,"" since cell metabolism will affect
	samples to varying degrees.  The serum/plasma test is much 
	preferred for any except general ""ball park"" testing.
"
1894|"Help !! - I'm looking for a ISA driver card and driver software for a
Logical Devices Husky programmer (It aint mush good without these)
can anyone help with either of these items ?
cheers
Mike.
"
1895|"
But why would you want to use RBI?   RBI is an attempt to measure is some
combination of clutch hitting and power hitting.  If you believe in
clutch hitting, then look at how the guy hit with RISP.  If you want to
see how good of a slugger he is, then look at his slugging average.  

In terms of evaluating players, RBI totals are better than nothing.  But
why use them when so many better stats are out there?
"
1896|"

A little supplement Basic Mike's info  :

For Sundday's opener on ABC, these are the announcing crews :

Devils/Isles at Pittsburgh - Gary Thorne(play-by-play),Bill Clement(color)
and Al Morganti roaming the halls outside the dressing rooms.
This telecast will primarily seen on the East Coast.

St.Louis at Chicago - Mike Emrick(play - by play),Jim Schoendfeld(color)
and Tom Mees roaming the halls.
This telecast will primarily be seen in the Midwest and parts of the South.

LA at Calgary - Al ""Do You Believe in Mircales?"" Michaels(play by play),
John Davidson(color) and Mark Jones as a roaming reporter.
This telecast will be seen in the Western USA.

Montreal's naitive,Jon Saunders will be hosting in the studio.

ABC will do ""Up and Close and Personal"" with Mario during Saturday's
Wide World of Sports(4:30EDT).

Sunday will be the first NHL playoff or regular network telecast in 13 years...
not counting those silly All-Star games on NBC for the last few years...

For Sunday's games,ABC will use 8 mikes(2 behind on the goal),super-super-slo-mo,
close-ups of player's faces at face-offs. ESPN/ABC will not be able to
use its new favorite toy,the ice-level shot, in Pittsburgh where too many
seats would have to removed to employ it...


In case of a blowout in progress in Pittsburgh,ABC will switch to Chicago
game but will come back to the Pittsburgh game for updates or if the game
gets closer(Ha!)..

ABC expects huge ratings(by hockey standards) since all 3 Top US TV-markets
are involved - NY metro area(NY Islanders/NJ Devils),Chicago(BlackHawks),
and LA(Kings).

Stay tuned,

Thanks Mike,"
1897|"I was recently loaned an older Dec 210 286 at work, and I have the option
of adding an additional Western Digital Hard-drive to the machine.  The
existing drive is currently a Western Digital as well, and is working fine,
but I do not have any documentation available for configuring the master/slave
relationship necessary for a c: d: drive setup.

The first drive is currently formatted to Tandy Dos v3.3 but I am eventually
going to upgrade both to MS Dos v 5.0

The drives themselves are both model number WD95044-A circa 5-07-1991
They are 782 cyl 4 head drives.  A note to add is that there is no exact
configuration for these in my current bios, but it seems to work at a
setting 17 (977 cyl 5 head, 300 write_pre, 977 landing zone).
There are three pairs of jumper pins on the back that I presume are
for setting up the master/slave.  Originally, the drive in the machine
had none.  Currently, I was suggested to try the far right (looking at the
back) for master and the middle jumper for the slave.

When booted, the reinitialize seems to puke accessing the d: drive.  It does
flicker about three times on the second drive, but then gives the error.  
Hopefully the problem is as simple as the drive not being formatted, but not
being a person who has ever had to actual format and unformatted drive, I
would not even know how to do that.

Any and all help on this is great fully appreciated.  If not, a number
for Western Digital might just do as good!

swood
"
1898|"
'Illumination and Color in Computer Generated Imagery' by Roy Hall contains c
source for several famous illumination models, including Bouknight, Phong,
Blinn, Whitted, and Hall illumination models. If you want an introduction to
shading you might look through the book 'Writing a Raytracer' edited by
Glassner. Also, the book 'Procedural elements for Computer Graphics' by Rogers
is a good reference. Source for code in these book are available on the net i 
believe, you might check out nic.funet.fi or some site closer to you carrying 
graphics related stuff. 

Hope this is what you were asking for.
-- 
Torgeir Veimo

Studying at the University of Bergen

""...I'm gona wave my freak flag high!"" (Jimi Hendrix)"
1899|"

BBS number
510-226-2365"
1900|"

Okay Mr. Dyer, we're properly impressed with your philosophical skills and
ability to insult people. You're a wonderful speaker and an adept politician.
However, I believe that all you were asked to do, was simply provide scientific
research refuting the work of Olney. I don't think the original poster sought
to start a philisophical debate. she wanted some information. Given a little
effort one could justify that shooting oneself with a .45 before breakfast is a
healthy practice. But we're not particularily interested in what you can
verbally prove/disprove or rationalize. Where's the research? Where are the
studies?

I appoligize if this sounds flamish. I simply would like to see the thread get
back on track. 


Lone Wolf"
1901|"time

No, Lt Calley was later acquitted. His troops killed 400-500
people, including kids, elderly and women... I sure don't want
to see the domestic law enforcement agencies in this country
adhere to those ""military standards""... If they did, we're
all in big trouble...(The My Lai massacre was covered up
by high-ranking officials and ALL who were involved were
ACQUITTED).

  == Minh =="
1902|"I was wondering if anyone knows of a chip that that is similar to
the internal timer 0 on the Intel 80C188?  I want a timer that has
a Maxcount A and B and the output should the same as Intel's timer.  I called
Intel and they told me that they don't make such a chip.  Any suggestions
are welcome.  Thanks in advance."
1903|"Actually, there can be any number of players on a side. You can
have a 25-man roster, a 40-man roster, etc....

Ryan Robbins
Penobscot Hall
University of Maine"
1904|": I'm not sure if this is the correct place to ask this question.  If not,
: please forgive me and point me in the right direction.

: Does anybody know of a program that converts .GIF files to .BMP files
: and if so, where can I ftp it from?  Any help would be greatly 
: appreciated.

: Please respond via e-mail as I do not read this group very often.

: Thanks...Scott

Sorry Scott, if you post it here, you can read it here.  There is a shareware
program available via anonymous FTP that will suit your needs.  You'll find 
it at OAK.OAKLAND.EDU  in the subdirectory pub/msdos/graphics.  The file is
called ""GRFWK61T.ZIP."""
1905|"Obesssive Compulsive Disorder (not to be confused with Obsessive Compulsive
_Personality_ Disorder !) is an acute anxiety disorder characterized by
either obsessions (persistent intrusive thoughts that cause anxiety when
not entertained), or compulsions (repetitive, ritualistic actions that
similarly cause intense psychological discomfort when resisted).  

OCD is often associated with certain forms of depression.  

Examples of obsessive thoughts are repeated impulses to kill a loved
one (though not accompanied by anger), or a religious person having 
recurrent blasphemous thoughts.  Generally, the individual attempts to ignore
or suppress the intrusive thoughts by engaging in other activities.  
The individual realizes that the thoughts originate from the own mind, rather
than being from an external source.

Examples of compulsive actions are constant repetitive hand washing,
or other activity that is not realistically related to alleviating a
source of the anxiety.

In OCD, the obsessions or compulsions are highly distressing to the
individual, take an hour or more per day, and significantly impair their
daily routine and social relationships.

Treatments include psychotherapy, behavioral methods, and sometimes
certain anti-depressants which have recently been found effective in alleviating
obsessions and compulsions.

The standard diagnostic code for OCD, if you want to look it up in the
DSM-III manual of psychiatric diagnosis is 300.30 .

						kind regards,"
1906|"How do you take off the driver side door panel from the inside
on an '87 Honda Prelude?  The speaker went scratchy, and I want
to access its pins.

 I see only one press button and the rest is snug fit.
"
1907|
1908|"The problems with Catholic liturgy are likely to continue for
some time.  The problem is, in a nutshell, this: the Liturgy is a
symbolic action - in other words Catholics do [or should] believe that
the _signs_ during the mass - Water, Blessings, Vestments, Altar,
Relics, etc - are real. That is the sprinkling of water bestows real,
almost tangible, holiness, the Vestments are a real indication of real
sacred time. The point of a _symbol_ is that it is understood by all
to be connected to an underlying REAL referent. This kind of thinking
precludes analysis; holy water is not holy because of anything, it
simply IS holy.

But, modern westerners find it extremely difficult, especially if
well- educated, to think of the mass as a symbol. We are more likely
to see it as a _sign_, ie an action that represents grace, but which
could be replaced with other signs. In concrete terms, this means the
mass has become a commercial for God's grace rather than the real
thing. You can mess around with a commercial in a way you wouldn't
dare with the real thing [ask Coca-Cola Co.!]. These attitudes have
been encouraged by Liturgy workshops, etc. which instead of focusing
on _how_ to do do liturgy, have focused on how to create a meaning in
liturgy. You can only create signs, symbols have to come from God [or
the heart, or somewhere deeper than analysis. The most dramatic
example of this shift in understanding has been in the treatment of
the sacred species [the consecrated host and wine]. Now, with pita
bread etc, it is common to come away from the altar with hands covered
in particles. If the Host is a sign of Grace, this isnt and issue; but
Catholics in the past would have been distraught at this real
desacration of the real symbol of Jesus' body.

Modern Catholic liturgy  is caught in this epistemological shift. We
try to perfrom the old rites, but then we have some liturgomaniac
priest get up and 'explain' what we are doing - so we stop doing it and
start pretending to do it. This is not a soul filling experience.
It doesn't help BTW that we have got stuck witha huge amount of two and
three chord ersatz-folk music [again a result of mis-analysis: complicated
tunes are in fact easier to remember than simple ones - this was the
genius of Wesley and the 19C Anglican hymn writers]. Taize' is only
slightly better.

What are we to do? Well I suggest rejecting the parish system if it
doesn't work for you. Search out a Church where the liturgy is well
prepared not well-explained. They exist in every city. This is not BTW
a matter of particular style: the music might be old or new. It is
the attitude of the church that counts. Also, note that a conservative
liturgy - harking back to pre-Vatican II days, does not necessarily mean
the Church will be socially conservative.

In NYC I can recommend:
	Corpus Christi - W 12st St.
	Corpus Christi - W 12st St. - very conservative liturgy, 
	St. Joseph's, Greenwich Village.  - Modern, ""clean"", largely gay
	Oratorian Church, Brooklyn - Very beautiful

Avoid, anywhere, anytime a church with electric candles.

Happy Easter: Christos Aneste', Christos Voskrezhne, Christ is Risen"
1909|"
Newsgroups: rec.audio,misc.forsale
Distribution: na
Subject: Forsale: Sony D-22 diskman
"
1910|"Are you sure you're running in 386-enhanced mode? (Windows 3.1
takes more memory...)
"
1911|"




GOT HIM!  Cramer is now claiming that pedophilia is a sexual orientation
rather than a chronicly homosexual condition.  This changes the whole
argument in as much that is pedophilia is a sexual orientation all
of its own peds cannot be called homosexual.  Peds are peds who
may have a preference as to the sex of the child they molest (though
most do not have a preference) but that is a subset of their basic
ped nature.

Cramer has as much as admitted that peds and gay men are different
orientations.  All we need now is to get him to admit that
the apparent similarities he keeps on about are just optical illusions.

xavier"
1912|"Hell, the Orioles' Opening Day game could easily be the largest in history
if we had a stadium with 80,000 seats. But unfortunely the Yards (a
definitely excellent ballpark) only holds like 45,000 with 275 SRO spots.
Ticket sales for the entire year is moving fast. Bleacher seats are almost
gone for every game this year. It's a extremely likelyhood that the O's
could sell out every game this year (especially if we lead the division for
most of the year like '89). 
	On another front, the sale of the Orioles to anyone is likely to be
forced upon Eli Jacobs who is major debt apparently. Maybe we can get an
owner willing to spend on a proven rightfielder free agent in the winter.
	Fernando has made the O's as the fifth starter. The O's pitching
staff looks pretty good. Sutcliffe, Mussina, McDonald, Rhodes, and Fernando.
	Baltimore is my pick for the victors in a very competitive AL East.
__________________________________________________________________________
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 Second to last day of the season - Gregg (The True Wild Thing) Olson
uncorks a wild pitch allowing the Blue Jays to tie. Blue Jays win in the
11th and ends the Baby Birds' miracle season of '89.
"
1913|"I recently ftp'd Al's Circuit Simulator (ACS) and I'm looking for
the tutorial which is mentioned in the Users Manual (but not found there).
I don't have any experience constructing a netlist (such as for SPICE)
and I need a little help.

The examples which come with ACS aren't explanatory about the translation
between schematic and netlist. Does anyone have the fabled ""Tutorial""
or any other reference which could help me in constructing a netlist from
a schematic diagram?

(I also emailed Al himself but received no response yet. He's probably
 busy with his next release.)
-- 
-------------------------------------------------------------------------------
Tim Pillsbury          Internet:  tsp@ccd.harris.com
                          uunet:  uunet!ccd.harris.com!timothy.pillsbury"
